index,index.1,index.1.1,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,year,engine_size,current_mileage,hand,gearBox,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,large,small,mini,medium
1596,1608,1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952380952380949,0.21240779269907323,0.0,1,1,0,0,0,0,1,0.0,0.6455466112698001,0.764326375711575,1,0,0,0
1322,1329,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7619047619047592,0.09249101569888407,0.07969849246231156,1,1,0,0,0,0,1,0.16666666666666669,0.18800311607374706,0.6007590132827325,0,0,0,1
1769,1782,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333428,0.11783620200491773,0.11256281407035175,2,1,0,0,0,0,1,0.16666666666666669,0.05037652557777203,0.6527514231499052,0,0,0,1
1188,1193,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5238095238095326,0.09854359750330999,0.1628140703517588,2,1,0,0,1,0,0,0.5833333333333333,0.02726564528693845,0.4933586337760911,0,1,0,0
1161,1166,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.21240779269907323,0.0,1,1,0,0,0,0,1,0.8333333333333333,0.9999999999999999,0.48994307400379533,0,1,0,0
2768,2796,2796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7142857142857224,0.13542651787403065,0.10050251256281406,2,1,0,0,0,0,1,0.08333333333333333,0.2957673331602181,0.6774193548387097,0,0,0,1
1395,1403,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4761904761904816,0.09854359750330999,0.20100502512562812,3,1,0,0,1,0,0,0.0,0.05037652557777203,0.4724857685009489,0,1,0,0
1505,1513,1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8095238095238102,0.11083790429355023,0.12562814070351758,1,1,0,0,1,0,0,0.25,0.0576473643209556,0.6246679316888046,0,0,0,1
962,967,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5238095238095326,0.06695668621146209,0.21407035175879396,3,2,0,0,0,0,1,0.5833333333333333,0.02726564528693845,0.494876660341556,0,1,0,0
2140,2160,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8571428571428612,0.5086060147531681,0.054271356783919596,1,1,0,0,0,0,1,0.08333333333333333,0.6455466112698001,0.9176470588235295,1,0,0,0
528,531,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4761904761904816,0.09854359750330999,0.1658291457286432,3,1,0,0,1,0,0,0.25,0.05037652557777203,0.4724857685009489,0,1,0,0
2674,2702,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8095238095238102,0.13334594287875923,0.1507537688442211,1,1,0,0,1,0,0,0.3333333333333333,0.18800311607374706,0.6736242884250476,0,0,0,1
402,404,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4761904761904816,0.060904104407036114,0.22311557788944722,4,1,0,0,0,0,1,0.6666666666666666,0.05037652557777203,0.514990512333966,0,1,0,0
572,575,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7619047619047592,0.11083790429355023,0.09885427135678392,1,1,0,0,0,0,1,0.08333333333333333,0.24798753570501167,0.6656546489563568,0,0,0,1
2652,2680,2680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8095238095238102,0.17457915642141103,0.11513165829145729,1,1,0,0,0,0,1,0.0,0.24798753570501167,0.631878557874763,0,0,0,1
1226,1232,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8095238095238102,0.21108379042935504,0.09045226130653267,1,1,0,0,0,0,1,0.5833333333333333,0.643209555959491,0.664136622390892,0,0,0,1
2570,2596,2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.21184036315490828,0.0,1,1,0,0,0,0,1,0.8333333333333333,0.24175538821085432,0.8220113851992412,1,0,0,0
108,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9047619047619122,0.06941554756951013,0.020742713567839195,1,1,0,0,0,0,1,0.49999999999999994,0.09218384835107765,0.4933586337760911,0,1,0,0
862,867,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8095238095238102,0.13448080196708906,0.06942311557788944,1,1,0,0,0,0,1,0.7499999999999999,0.18800311607374706,0.5616698292220115,0,1,0,0
2516,2541,2541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.952380952380949,0.023453754492150564,0.003015075376884422,1,1,0,0,1,0,0,0.16666666666666669,0.16852765515450532,0.49411764705882355,0,1,0,0
1551,1559,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9047619047619122,0.5246831851711746,0.01909547738693467,1,1,0,0,0,0,1,0.25,0.6455466112698001,0.8223908918406073,1,0,0,0
999,1004,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8571428571428612,0.11783620200491773,0.12060301507537688,1,1,0,0,0,0,1,0.0,0.3991171124383277,0.7343453510436433,0,0,0,1
2124,2144,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7142857142857224,0.17457915642141103,0.26733668341708544,2,1,0,0,1,0,0,0.16666666666666669,0.2957673331602181,0.8220113851992412,1,0,0,0
1536,1544,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7619047619047592,0.11745791564214109,0.06733668341708543,1,1,0,0,0,0,1,0.6666666666666666,0.12282524019735133,0.47438330170777987,0,1,0,0
2789,2817,2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8095238095238102,0.3994703990921128,0.08844221105527637,3,1,0,0,0,0,1,0.16666666666666669,0.643209555959491,0.6512333965844403,0,0,0,1
1456,1464,1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8095238095238102,0.11802534518630603,0.04120603015075377,1,1,0,0,0,0,1,0.16666666666666669,0.2957673331602181,0.6201138519924099,0,0,0,1
1915,1931,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6666666666666714,0.17457915642141103,0.13668341708542714,4,1,0,0,0,0,1,0.0,0.21111399636458064,0.5981024667931691,0,0,0,1
2538,2563,2563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7142857142857224,0.20975978815963686,0.11658291457286432,6,1,0,0,0,0,1,0.0,0.43702934302778496,0.8220113851992412,1,0,0,0
642,645,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6190476190476204,0.060904104407036114,0.12964824120603013,3,1,0,0,0,0,1,0.25,0.08439366398338091,0.518406072106262,0,1,0,0
748,751,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8095238095238102,0.060904104407036114,0.12569849246231155,1,1,0,0,1,0,0,0.0,0.18800311607374706,0.7104364326375712,0,0,0,1
354,356,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8095238095238102,0.023453754492150564,0.0814070351758794,1,1,0,0,1,0,0,0.16666666666666669,0.18800311607374706,0.7495256166982922,0,0,0,1
676,679,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7619047619047592,0.17457915642141103,0.13869346733668342,1,1,0,0,0,0,1,0.16666666666666669,0.24798753570501167,0.631878557874763,0,0,0,1
1029,1034,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5238095238095326,0.13448080196708906,0.16180904522613065,2,1,0,0,1,0,0,0.0,0.08439366398338091,0.6812144212523721,0,0,0,1
2610,2636,2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666714,0.44713448080196716,0.18090452261306533,3,1,0,0,1,0,0,0.08333333333333333,0.28096598286159435,0.732068311195446,0,0,0,1
1001,1006,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6190476190476204,0.13542651787403065,0.13467336683417086,3,1,0,0,1,0,0,0.25,0.14126200986756685,0.6793168880455409,0,0,0,1
612,615,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9047619047619122,0.5161717420087006,0.024120603015075376,1,1,0,0,0,0,1,0.0,0.9999999999999999,0.8094876660341557,1,0,0,0
1727,1739,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7619047619047592,0.061282390769812733,0.08090452261306533,1,1,0,1,0,0,0,0.49999999999999994,0.0576473643209556,0.48500948766603424,0,1,0,0
