index,price
2786,98900
2148,56500
1410,107000
251,81000
2506,77900
2115,60000
1412,270000
1642,108000
408,242000
2400,92000
2732,132000
52,104999
644,289900
1885,79000
2787,98900
900,194900
1862,39500
472,65000
1078,56900
2547,84900
44,61900
289,54000
912,84900
2084,89000
1361,16500
2641,56000
1575,605000
2552,59000
296,130000
1242,67000
1005,65000
2089,24900
746,96900
2183,63678
291,49900
781,80000
2290,46500
322,243900
298,63000
1299,187900
194,74000
63,70000
393,136000
727,67900
1584,36948
2490,147000
2426,145900
14,110000
2974,92000
1337,79000
1091,469000
2287,67000
203,26000
1244,122000
152,32900
1921,100000
1360,81900
772,60900
2679,27900
1001,220000
718,125000
612,47900
842,91000
266,125000
51,22999
1196,21000
1271,245000
2117,51000
2271,49000
521,36000
1569,79900
2664,42060
2703,59900
2854,60000
102,27900
695,65000
2333,49900
2725,272000
2151,38000
2483,51000
1844,43900
2724,38000
794,112500
1547,43900
1041,356000
144,94900
1933,143000
2286,26000
2478,57000
2633,159900
321,119900
1814,123000
2415,54000
1270,259000
2887,210000
416,20000
2632,275555
2292,354000
174,332000
1316,399000
1582,18999
45,77000
685,459000
2673,107000
1789,110990
862,57000
1967,36500
331,94900
93,146500
1292,430000
2645,146500
506,58000
2236,24990
2970,100000
495,50000
2841,67078
0,176000
314,44900
1273,65000
2187,32000
1567,104000
1407,70000
755,126900
2881,96900
1878,11999
2735,78000
1993,71000
879,59900
765,38000
927,96900
2378,104900
1375,295000
1362,37000
1784,86800
929,124900
436,63900
196,15000
1763,36500
2093,548900
2918,172354
1216,78000
1269,99000
1671,235000
2780,138870
2226,30000
450,47900
2307,150000
1588,65000
1053,99000
270,80000
1842,115000
2935,207800
978,137000
2167,110000
354,84500
1971,28000
184,280000
2186,418000
1655,18000
1735,78000
2788,133000
2024,37872
246,205000
555,79900
2261,32900
2437,289000
67,89900
2619,109600
2285,32900
532,56000
2874,45000
2836,61900
1503,41500
761,105000
2753,59990
2567,411500
1234,499000
1795,235000
535,25000
1747,55000
463,79000
2678,92900
2635,232400
2863,111990
124,65000
178,150000
192,135000
2308,59000
2008,56500
2674,69000
741,65900
1093,105000
2244,62000
478,146500
2250,75000
2602,106500
368,112900
1544,75000
845,38900
256,175000
2364,180000
2118,69000
211,49900
2871,91770
1951,219000
2834,146000
2337,39500
1510,40000
567,87900
1616,105060
1133,42000
1711,86500
1264,120000
2652,42550
798,139000
80,14999
32,32000
414,49900
1867,90000
1027,85000
1322,90999
1298,86900
783,130000
2993,91899
1413,57900
457,64000
139,99000
2275,25400
1025,120000
88,330000
2723,198000
1833,49000
2577,39500
254,98500
605,134900
2897,72996
568,109900
1600,127000
2543,119000
857,94900
2473,66000
817,49000
1113,96545
1825,74000
141,69890
443,137900
2175,34000
486,125000
881,119900
2077,79000
2440,166000
2706,63750
175,69900
2998,59000
1159,133604
2668,775840
1965,168000
1505,88000
2985,59500
2023,38500
1557,49999
2920,106102
177,63000
2238,38500
598,59900
2268,74000
2306,275000
1061,140000
2778,164900
479,149000
2112,138000
1100,29000
2269,104990
533,285000
1651,47000
1580,183900
1450,162000
1124,24000
942,114900
162,98900
1966,82900
965,102900
471,35000
844,17900
998,136000
2209,66900
30,80999
2891,344000
423,124900
511,62000
1845,26000
2878,200000
1725,102500
1587,44000
1395,480000
2095,318000
787,95900
2637,125512
1607,129000
402,48000
433,58900
