index,version,CompanyName,year,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,size,large,small,mini,medium
2786,יונדאי איוניק HYBRID PREMIUM,יונדאי,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1580 ליטר בנזין,1580,בנזין,80507,1,1,אפור,ליסינג,0,0,1,0,0,2,1811,447.0,medium,0,0,0,1
2148,סקודה ראפיד AMBITION,סקודה,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1395 ליטר בנזין,1395,בנזין,172000,1,1,לבן,חברה,0,0,0,1,0,6,1353,448.3,medium,0,0,0,1
1410,טויוטה קורולה SUN,טויוטה,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798 ליטר בנזין,1798,בנזין,83804,1,1,לבן,ליסינג,0,0,1,0,0,3,1811,463.0,medium,0,0,0,1
251,טויוטה יאריס HYBRID ECO,טויוטה,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1497 ליטר בנזין,1497,בנזין,88000,1,1,לבן,ליסינג,0,0,1,0,0,8,1353,394.5,small,0,1,0,0
2506,יונדאי סנטה פה LUXURY,יונדאי,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2349 ליטר בנזין,2349,בנזין,97000,2,1,שחור מטלי,פרטית,0,0,0,0,1,11,1508,466.0,medium,0,0,0,1
2115,פיאט 500X POP,פיאט,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1368 ליטר בנזין,1368,בנזין,100000,1,1,לבן,השכרה,0,1,0,0,0,6,1604,424.8,medium,0,0,0,1
1412,פורשה מקאן S ORCHID PACK,פורשה,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2997 ליטר בנזין,2997,בנזין,80000,5,1,שחור מטלי,פרטית,0,0,0,0,1,3,3357,469.7,medium,0,0,0,1
1642,סקודה אוקטביה AMBITION,סקודה,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1498 ליטר בנזין,1498,בנזין,127000,2,1,כסוף בהיר,ליסינג,0,0,1,0,0,8,1604,467.0,medium,0,0,0,1
408,ב.מ.וו סדרה 2 218I M-PLAY INNOV,ב.מ.וו,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499 ליטר בנזין,1499,בנזין,9000,1,1,לבן,פרטית,0,0,0,0,1,7,3366,452.6,medium,0,0,0,1
2400,סקודה סופרב AMBITION,סקודה,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1798 ליטר בנזין,1798,בנזין,166900,1,1,כסף מטלי,פרטית,0,0,0,0,1,5,2019,486.1,large,1,0,0,0
2732,ב.מ.וו סדרה 1 118I SPORT,ב.מ.וו,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499 ליטר בנזין,1499,בנזין,55000,3,1,לבן,פרטית,0,0,0,0,1,2,2417,432.9,medium,0,0,0,1
52,ניסאן X TRAIL VISIA,ניסאן,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1598 ליטר דיזל,1598,דיזל,160000,2,1,לבן,פרטית,0,0,0,0,1,1,2019,464.0,medium,0,0,0,1
644,קופרה פורמנטור BB/BP,קופרה,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1984 ליטר בנזין,1984,בנזין,5500,1,1,לבן,פרטית,0,0,0,0,1,2,3366,445.0,medium,0,0,0,1
1885,יונדאי איוניק HYBRID PREMIUM,יונדאי,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1580 ליטר בנזין,1580,בנזין,156700,1,1,לבן,ליסינג,0,0,1,0,0,2,1604,447.0,medium,0,0,0,1
2787,יונדאי איוניק HYBRID PREMIUM,יונדאי,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1580 ליטר בנזין,1580,בנזין,69805,1,1,כסוף,ליסינג,0,0,1,0,0,2,1811,447.0,medium,0,0,0,1
900,וולבו XC40 T5 MOMENTUM,וולבו,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969 ליטר בנזין,1969,בנזין,35567,1,1,אפור מטאלי,פרטית,0,0,0,0,1,8,2563,447.5,medium,0,0,0,1
1862,פיג'ו 301 ACTIVE,פיג'ו,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587 ליטר בנזין,1587,בנזין,118003,1,1,אפור,השכרה,0,1,0,0,0,1,1353,444.2,medium,0,0,0,1
