index,price
2902,217000
73,169900
1537,94900
2638,76000
621,86500
1187,29900
2002,100000
1064,95000
324,159900
332,117900
1393,275000
650,69900
2827,395900
2762,109000
2164,240000
543,270000
1803,78000
1820,125000
2181,27500
1178,99000
679,115000
2097,75990
2031,259900
1660,26000
2997,132000
239,119900
1253,59999
1116,96900
1099,86500
764,44000
2022,402900
2256,84000
1117,60000
1103,134000
2848,189000
2533,151900
2498,65000
2923,82000
2826,58500
2530,178000
343,149900
1106,83500
2593,76500
557,74900
1476,71900
2960,80000
594,113900
1558,116770
411,129900
2653,188000
2474,169500
108,92900
1157,64000
2707,75000
318,101900
1036,140000
840,113000
2959,88000
1352,20000
2472,91900
1948,122000
2715,153000
680,115000
729,116900
789,72500
1815,152900
1057,35500
2799,390000
2542,29000
432,99900
564,157900
2010,92770
1777,1600000
70,24500
2873,128172
2948,139900
1610,399000
56,77999
1602,83500
651,42000
1461,35000
897,69900
785,100000
309,77900
2405,72500
1742,88000
907,104900
602,114900
1179,225000
2298,32000
1746,42000
2898,58456
2832,89000
2096,23000
1578,113900
572,119900
554,91900
945,65000
1230,26900
874,41900
2170,21500
2107,124000
1769,95000
2628,48424
1554,34000
120,235000
1491,66600
809,168500
1494,31000
1670,73000
313,62000
1563,68000
233,67000
507,77000
1123,183000
1110,24900
111,77900
2555,98000
410,53900
218,59000
2846,235000
2179,147900
2418,35000
759,105900
911,74900
807,67000
439,67900
544,18000
485,62500
1665,51000
387,210000
2890,53931
1740,51000
1231,148500
1211,74000
2304,58400
1941,67000
1161,110000
930,146900
135,469000
1225,150999
2168,43450
1498,95000
2257,45000
366,138500
2132,49500
2210,79900
29,44900
2502,720000
22,195000
1048,66000
2230,352000
1422,40000
2249,155000
183,21999
1135,110000
188,21999
420,104900
170,32000
1378,110000
460,265000
43,53000
87,58000
1323,36948
1709,89500
705,20000
903,120900
282,95000
1417,149000
693,429000
2090,144900
2067,98450
257,314999
2492,156500
2595,164000
1356,96900
2884,28000
2459,142500
2110,119000
2882,19000
149,33000
1071,29000
2359,63000
2743,290000
1446,108000
2113,189000
1097,35500
134,127000
2931,22000
831,79500
2344,87900
2482,69900
1088,91000
2058,85000
864,51900
528,119990
1907,87900
430,142900
2196,418000
1745,269999
610,44900
949,47000
2812,44300
221,78900
2134,180000
1956,71000
1037,59000
2646,50675
932,86900
2263,85900
173,42000
565,70900
1962,35500
812,46000
2439,49000
958,69900
527,54900
1055,54900
1612,254900
272,161500
926,57900
2003,48000
847,179900
952,139500
1621,50570
3001,147000
2316,124500
2291,165000
2594,250000
2033,72000
2580,76900
1359,39000
2229,263000
168,193000
2377,59400
1437,102000
2917,89900
1399,37500
1229,51900
2910,59000
1739,47000
367,83500
2276,88000
867,104900
1800,355419
351,85900
1173,58500
2928,56000
979,310000
1849,76900
2371,42000
498,45500
2157,105000
210,64900
2471,19900
601,47900
227,74900
365,59900
581,124900
2856,160000
1936,65000
2020,94000
859,45000
407,32000
1922,61000
1614,43963
678,330000
1374,71000
2408,40400
691,94500
7,56500
2815,189900
2757,109500
1780,80000
415,24900
670,59000
810,53000
1090,57000
199,117000
283,62000
231,124900
2431,47000
2476,31500
96,96000
2536,208000
2570,31900
2774,25000
676,98000
1075,257000
2782,24900
2864,110999
2588,26000
2825,109999
2373,65000
104,74500
1047,130000
599,64900
1809,125000
1909,208000
642,102900
700,89000
226,113900
1268,106000
1010,25000
2136,52000
776,129999
1731,180400
1080,282985
2066,250000
1590,100000
464,45999
1818,69900
1094,77000
1272,370000
2924,35500
2760,36400
1208,126000
212,47900
12,107900
2905,45000
422,32900
1525,28900
1302,105000
2896,600000
2320,40500
637,125000
2670,425044
2603,43000
509,69000
597,86900
2713,270000
2759,19900
2365,79000
2644,89900
518,91000
2794,117000
573,119900
2726,131636
1330,37400
1949,124000
1869,28500
1421,196000
2597,164000
964,245000
1018,38500
2909,44000
358,58000
736,114900
1786,68900
1609,430000
259,119500
2772,83900
1861,79000
2394,145000
1910,99900
2469,84900
2409,57000
969,82000
2032,78000
819,63900
2717,43930
2539,35000
456,111000
462,138000
2225,90000
1953,90000
381,87000
2329,61900
2813,40255
2309,74000
1507,31900
805,102000
1511,65900
756,106900
1475,280000
2071,43900
869,108000
1859,71000
1411,28000
2611,35000
2288,120000
2859,42540
1174,335000
542,275000
1442,126500
1730,63000
1960,46000
1766,86500
1480,131000
2422,420000
2528,144000
1344,95900
2174,94639
2895,20000
2591,36500
2037,109900
2421,20000
2849,107900
1260,435000
435,74900
1729,80400
237,78900
2114,88000
109,24000
2965,29000
163,185000
288,25000
252,135900
2202,57000
1553,195000
1289,51900
744,56900
1207,155000
2420,125000
1392,278000
2334,27900
990,86000
839,82500
1213,150000
1222,112500
1744,68000
2401,40000
461,117000
1771,74900
1436,117000
157,124900
1913,78900
1618,84500
677,27999
2561,99900
1874,64000
238,259000
2154,99000
2971,104900
1977,44000
100,136000
315,114000
1023,162500
1370,108000
767,35900
1345,76900
261,590000
1545,19999
1644,82000
195,66000
1776,204900
2560,429500
1736,79000
179,84900
2318,187900
340,117900
2847,345000
2384,37000
748,134900
1068,100000
662,230000
480,109900
2138,92500
871,108900
1340,58000
2436,245000
549,67900
1509,73360
2709,138000
742,119900
2416,107000
1706,78000
1151,159000
2446,99900
1911,99900
790,133900
2121,99900
2957,25990
247,95999
829,35800
1125,99900
2721,77000
626,114900
347,84900
278,48900
2541,112900
2281,59500
655,18999
2407,85000
838,19000
2865,121000
2589,37872
2351,129500
1710,74953
1830,64999
976,105900
445,104900
617,116500
1377,550000
2295,39900
1684,42000
1127,48900
1562,97900
2553,95000
547,57900
1775,119900
1624,110900
263,245000
1385,139000
2354,19990
1817,35000
353,86000
1032,92900
208,91500
613,109900
1721,135000
1726,122500
1737,38900
1402,87900
1752,21999
1502,19000
57,115900
2951,178900
811,42900
2348,75000
561,109900
2739,46990
229,124900
2510,48424
2844,47510
2851,82400
1451,319000
1235,88000
2126,81840
2797,91320
2862,31000
889,50900
1877,130999
707,114900
424,102900
69,22000
1029,47900
2967,124900
1688,380000
2208,310000
1583,289000
2582,139500
2622,82988
940,96900
620,51000
1373,60900
2765,152000
1601,162000
1381,41000
1506,32000
1474,99000
2131,89500
2046,84900
2383,89000
279,152000
1611,254900
2682,90000
1309,135000
1195,98900
2504,88250
553,106900
834,30000
962,329000
596,184900
2452,67000
802,340000
2944,125000
2987,59000
2720,65900
440,109900
508,99000
76,115000
2356,165000
649,56000
522,379000
1488,51500
1105,180000
