index,version,CompanyName,year,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,size,large,small,mini,medium
2902,אאודי TT COUPE DESIGN,אאודי,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984 ליטר בנזין,1984,בנזין,61000,2,1,שחור,פרטית,0,0,0,0,1,7,3366,417.7,small,0,1,0,0
73,קיה סורנטו URBAN,קיה,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2359 ליטר בנזין,2359,בנזין,23000,1,1,שחור,פרטית,0,0,0,0,1,11,2019,480.0,large,1,0,0,0
1537,יונדאי איוניק HYBRID PREMIUM,יונדאי,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1580 ליטר בנזין,1580,בנזין,73243,1,1,כסוף,ליסינג,0,0,1,0,0,8,1604,447.0,medium,0,0,0,1
2638,פולקסווגן גולף TRENDLINE,פולקסווגן,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395 ליטר בנזין,1395,בנזין,120000,1,1,לבן,ליסינג,0,0,1,0,0,3,1604,425.5,medium,0,0,0,1
621,סקודה ראפיד STYLE,סקודה,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999 ליטר בנזין,999,בנזין,25000,2,1,שחור,פרטית,0,0,0,0,1,6,1353,424.7,medium,0,0,0,1
1187,קיה פיקנטו SPORT,קיה,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1248 ליטר בנזין,1248,בנזין,115000,2,2,שחור,פרטית,0,0,0,0,1,6,985,359.5,mini,0,0,1,0
2002,דאצ'יה דוקר AMBIANCE,דאצ'יה,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461 ליטר דיזל,1461,דיזל,58000,1,2,לבן,פרטית,0,0,0,0,1,6,1102,436.3,medium,0,0,0,1
1064,טויוטה קורולה SUN,טויוטה,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798 ליטר בנזין,1798,בנזין,158852,1,1,לבן,ליסינג,0,0,1,0,0,4,1811,463.0,medium,0,0,0,1
324,ניסאן X TRAIL ACENTA,ניסאן,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1749 ליטר דיזל,1749,דיזל,77604,1,1,שחור,פרטית,0,0,0,0,1,11,2417,469.0,medium,0,0,0,1
332,טויוטה C-HR HYBRID CHIC,טויוטה,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798 ליטר בנזין,1798,בנזין,76007,1,1,לבן,פרטית,0,0,0,0,1,4,1835,436.0,medium,0,0,0,1
1393,יונדאי סנטה פה LUXURY,יונדאי,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2199 ליטר דיזל,2199,דיזל,14000,2,1,שחור,פרטית,0,0,0,0,1,5,4731,477.0,large,1,0,0,0
650,סובארו XV 2.0I,סובארו,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995 ליטר בנזין,1995,בנזין,155000,2,1,לבן,ליסינג,0,0,1,0,0,6,1835,445.0,medium,0,0,0,1
2827,פולקסווגן אטלס CR SPORT SEL R-LINE,פולקסווגן,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3597 ליטר בנזין,3597,בנזין,1455,1,1,לבן,פרטית,0,0,0,0,1,7,4731,437.0,medium,0,0,0,1
2762,מיני קאנטרימן S CHILLI,מיני,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598 ליטר בנזין,1598,בנזין,100000,1,1,אפור מטל,פרטית,0,0,0,0,1,2,2563,410.9,small,0,1,0,0
