index,version,year,engine,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,price
0,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"48,000",1,אוטומטי,לבן,ליסינג,5 חודשים,"‏1,811 ₪",116770
1,מרצדס E קלאס E250 AMG EDITION,2016,1991 ליטר בנזין,"119,000",4,אוטומטי,כסוף בהיר,פרטית,10 חודשים,"‏3,357 ₪",185000
2,מרצדס E קלאס E250 AMG EDITION,2016,1991 ליטר בנזין,"119,000",4,אוטומטי,כסוף בהיר,פרטית,10 חודשים,"‏3,357 ₪",185000
3,אאודי A4,2019,1984 ליטר בנזין,"67,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,366 ₪",179900
4,רנו פלואנס E1,2012,1461 ליטר דיזל,"440,000",2,אוטומטי,לבן,פרטית,11 חודשים,"‏1,262 ₪",21000
5,פורד S-MAX TREND,2013,1999 ליטר בנזין,"160,000",2,אוטומטי,כסף,פרטית,4 חודשים,"‏1,693 ₪",37500
6,וולבו XC90 T6 MOMENTUM,2016,1969 ליטר בנזין,"113,000",2,אוטומטי,שחור,פרטית,1 חודשים,"‏3,357 ₪",199000
7,אלפא רומיאו סטלביו SPECIALE,2018,1995 ליטר בנזין,"70,000",2,אוטומטי,לבן,פרטית,8 חודשים,"‏3,357 ₪",209000
8,אלפא רומיאו סטלביו SPECIALE,2018,1995 ליטר בנזין,"70,000",2,אוטומטי,לבן,פרטית,8 חודשים,"‏3,357 ₪",209000
9,סוזוקי ג'ימני GLX,2016,1328 ליטר בנזין,"115,000",3,אוטומטי,לבן,ליסינג,11 חודשים,"‏1,205 ₪",87900
10,יונדאי I20 INSPIRE,2011,1396 ליטר בנזין,"200,000",3,אוטומטי,כחול מטאלי,ליסינג,1 חודשים,"‏1,074 ₪",26000
11,סיטרואן C4 קקטוס FUN,2018,1199 ליטר בנזין,"93,000",2,אוטומטי,אפור בהיר מטלי,ליסינג,3 חודשים,"‏1,353 ₪",57000
12,סיטרואן C4 קקטוס FUN,2018,1199 ליטר בנזין,"93,000",2,אוטומטי,אפור בהיר מטלי,ליסינג,3 חודשים,"‏1,353 ₪",57000
13,רנו קליאו LIFE,2018,1197 ליטר בנזין,"68,086",1,אוטומטי,בז,השכרה,6 חודשים,"‏1,102 ₪",58000
14,איסוזו D-Max S,2013,2499 ליטר דיזל,"168,000",3,ידני,כסף מטלי,פרטית,5 חודשים,"‏1,693 ₪",95000
15,ניסאן סנטרה SR,2018,1798 ליטר בנזין,"89,000",1,אוטומטי,לבן,ליסינג,11 חודשים,"‏1,604 ₪",70000
16,טויוטה פריוס TSS,2018,1798 ליטר בנזין,"96,000",2,אוטומטי,לבן,ליסינג,1 חודשים,"‏1,835 ₪",86000
17,טויוטה C-HR HYBRID LOUNGE B-TOP,2020,1798 ליטר בנזין,"28,000",1,אוטומטי,כתום,פרטית,12 חודשים,"‏2,417 ₪",149899
18,טויוטה C-HR HYBRID LOUNGE B-TOP,2020,1798 ליטר בנזין,"28,000",1,אוטומטי,כתום,פרטית,12 חודשים,"‏2,417 ₪",149899
19,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"83,804",1,אוטומטי,לבן,ליסינג,3 חודשים,"‏1,811 ₪",107000
20,פיאט קובו ACTIVE,2016,1368 ליטר בנזין,"83,000",1,ידני,לבן,השכרה,7 חודשים,"‏1,102 ₪",28000
21,פורשה מקאן S ORCHID PACK,2016,2997 ליטר בנזין,"80,000",5,אוטומטי,שחור מטלי,פרטית,3 חודשים,"‏3,357 ₪",270000
22,פורשה מקאן S ORCHID PACK,2016,2997 ליטר בנזין,"80,000",5,אוטומטי,שחור מטלי,פרטית,3 חודשים,"‏3,357 ₪",270000
23,רנו קליאו COLLECTION,2017,1197 ליטר בנזין,"107,000",1,אוטומטי,אדום שחור,פרטית,6 חודשים,"‏1,353 ₪",57900
24,MG ZS NET,2019,999 ליטר בנזין,"58,737",1,אוטומטי,אדום,השכרה,11 חודשים,"‏1,102 ₪",85000
25,MG ZS NET,2019,999 ליטר בנזין,"58,737",1,אוטומטי,אדום,השכרה,11 חודשים,"‏1,102 ₪",85000
26,MG ZS NET,2019,999 ליטר בנזין,"58,737",1,אוטומטי,אדום,השכרה,11 חודשים,"‏1,102 ₪",85000
27,מיצובישי אטראז INSTYLE,2016,1193 ליטר בנזין,"202,775",1,אוטומטי,כסוף,ליסינג,4 חודשים,"‏1,102 ₪",37000
28,מרצדס A קלאס A250 E PROGRES PLUS,2021,1332 ליטר חשמל/בנזין,"15,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,366 ₪",281900
29,מרצדס A קלאס A250 E PROGRES PLUS,2021,1332 ליטר חשמל/בנזין,"15,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,366 ₪",281900
30,מרצדס A קלאס A250 E PROGRES PLUS,2021,1332 ליטר חשמל/בנזין,"15,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,366 ₪",281900
31,מרצדס A קלאס A250 E PROGRES PLUS,2021,1332 ליטר חשמל/בנזין,"15,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,366 ₪",281900
32,ב.מ.וו סדרה 2 218I SPORT,2017,1499 ליטר בנזין,"75,000",2,אוטומטי,לבן,פרטית,4 חודשים,"‏2,563 ₪",149000
33,דאצ'יה דאסטר PRESTIGE,2015,1197 ליטר בנזין,"134,000",2,ידני,כסוף בהיר,פרטית,1 חודשים,"‏1,205 ₪",40500
34,דאצ'יה דאסטר PRESTIGE,2015,1197 ליטר בנזין,"134,000",2,ידני,כסוף בהיר,פרטית,1 חודשים,"‏1,205 ₪",40500
35,ניסאן X TRAIL ACENTA,2016,1598 ליטר דיזל,"137,000",2,אוטומטי,אפור מטל,פרטית,1 חודשים,"‏2,019 ₪",100900
36,פיאט 500 1.2 MY STAR,2015,1242 ליטר בנזין,"120,000",1,אוטומטי,אדום,פרטית,1 חודשים,"‏1,205 ₪",38000
37,יונדאי סונטה HYBRID PREMIUM,2021,1999 ליטר בנזין,"20,000",1,אוטומטי,שחור,פרטית,1 חודשים,"‏2,417 ₪",196000
38,שברולט ספארק LT,2017,1399 ליטר בנזין,"78,000",2,אוטומטי,כסף מטלי,השכרה,2 חודשים,"‏1,102 ₪",40000
39,ג'יפ רנגלר ETQ SPORT S SPORT,2021,3604 ליטר בנזין,0,1,אוטומטי,אפור בהיר מטלי,פרטית,6 חודשים,"‏4,731 ₪",475000
40,יונדאי I20 PRIME,2019,998 ליטר בנזין,"76,000",1,אוטומטי,לבן,פרטית,11 חודשים,"‏1,102 ₪",76500
41,וולבו XC60 2 KINETIC,2011,1999 ליטר בנזין,"115,799",4,אוטומטי,שחור,פרטית,3 חודשים,"‏1,726 ₪",50000
42,וולבו XC60 2 KINETIC,2011,1999 ליטר בנזין,"115,799",4,אוטומטי,שחור,פרטית,3 חודשים,"‏1,726 ₪",50000
43,סקודה אוקטביה ELEGANCE,2015,1197 ליטר בנזין,"146,000",2,אוטומטי,אפור כהה,ליסינג,1 חודשים,"‏1,424 ₪",54500
44,ביואיק לוצרן CXL,2007,3791 ליטר בנזין,"230,000",5,אוטומטי,אפור כהה,פרטית,2 חודשים,"‏1,508 ₪",20000
45,הונדה CR-V COMFORT,2017,1997 ליטר בנזין,"49,000",1,אוטומטי,אפור בהיר מטלי,פרטית,9 חודשים,"‏2,019 ₪",108000
46,טויוטה קורולה SUN,2016,1598 ליטר בנזין,"215,000",2,אוטומטי,לבן,ליסינג,3 חודשים,"‏1,604 ₪",59900
47,אלפא רומיאו ג'וליטה COMPETIZIONE,2016,1368 ליטר בנזין,"72,000",2,ידני,אפור פלדה,פרטית,9 חודשים,"‏2,019 ₪",79900
48,אלפא רומיאו ג'וליטה COMPETIZIONE,2016,1368 ליטר בנזין,"72,000",2,ידני,אפור פלדה,פרטית,9 חודשים,"‏2,019 ₪",79900
49,אלפא רומיאו ג'וליטה COMPETIZIONE,2016,1368 ליטר בנזין,"72,000",2,ידני,אפור פלדה,פרטית,9 חודשים,"‏2,019 ₪",79900
50,אופל זפירה ENJOY,2016,1364 ליטר בנזין,"102,000",1,אוטומטי,שחור,ליסינג,9 חודשים,"‏2,019 ₪",49000
51,יונדאי סנטה פה SUPREME,2017,2199 ליטר דיזל,"155,000",2,אוטומטי,אפור,פרטית,3 חודשים,"‏2,563 ₪",162500
52,מאזדה 3 COMFORT,2021,1998 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,2 חודשים,"‏1,811 ₪",146000
53,מאזדה 3 COMFORT,2021,1998 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,2 חודשים,"‏1,811 ₪",146000
54,ג'יפ רנגלר SPORT,2016,3604 ליטר בנזין,"90,000",2,אוטומטי,לבן,פרטית,5 חודשים,"‏2,563 ₪",289000
55,מיצובישי פאג'רו DAKAR,2018,3200 ליטר דיזל,"38,000",2,אוטומטי,שחור,פרטית,7 חודשים,"‏3,357 ₪",275000
56,מיצובישי פאג'רו DAKAR,2018,3200 ליטר דיזל,"38,000",2,אוטומטי,שחור,פרטית,7 חודשים,"‏3,357 ₪",275000
57,מיצובישי פאג'רו DAKAR,2018,3200 ליטר דיזל,"38,000",2,אוטומטי,שחור,פרטית,7 חודשים,"‏3,357 ₪",275000
58,מיצובישי אאוטלנדר INSTYLE,2018,1998 ליטר בנזין,"110,000",1,אוטומטי,אפור,ליסינג,3 חודשים,"‏2,019 ₪",117000
59,סקודה אוקטביה AMBIENTE,2011,1197 ליטר בנזין,"277,000",3,אוטומטי,כסף כחלחל מטלי,ליסינג,2 חודשים,"‏1,262 ₪",28000
60,ב.מ.וו סדרה 7 740LE iPERFORMANCE LUXURY,2018,1998 ליטר חשמל/בנזין,"60,000",2,אוטומטי,לבן,פרטית,5 חודשים,"‏3,357 ₪",419000
61,מרצדס GLC 300E 4MATIC COUPE AMG,2021,1991 ליטר חשמל/בנזין,0,1,אוטומטי,לבן,ליסינג,2 חודשים,"‏4,731 ₪",545000
62,ניסאן קשקאי ACENTA,2019,1461 ליטר דיזל,"79,000",1,אוטומטי,לבן,ליסינג,5 חודשים,"‏2,130 ₪",112000
63,ב.מ.וו X1 SDRIVE 18I BUSINESS,2020,1499 ליטר בנזין,"19,000",3,אוטומטי,לבן,ליסינג,3 חודשים,"‏3,366 ₪",204000
64,סוזוקי CROSSOVER GLX,2014,1586 ליטר בנזין,"230,000",1,אוטומטי,אפור מטל,ליסינג,4 חודשים,"‏1,205 ₪",45000
65,סוזוקי CROSSOVER GLX,2014,1586 ליטר בנזין,"230,000",1,אוטומטי,אפור מטל,ליסינג,4 חודשים,"‏1,205 ₪",45000
66,סוזוקי CROSSOVER GLX,2014,1586 ליטר בנזין,"230,000",1,אוטומטי,אפור מטל,ליסינג,4 חודשים,"‏1,205 ₪",45000
67,לקסוס IS 300H PREMIUM F,2016,2494 ליטר בנזין,"135,000",2,אוטומטי,כסוף מילניום,פרטית,3 חודשים,"‏2,563 ₪",126500
68,אופל אסטרה ברלינה ENJOY,2015,1362 ליטר בנזין,"151,000",2,אוטומטי,לבן,השכרה,11 חודשים,"‏1,424 ₪",36999
