index,version,CompanyName,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,car_length,price
0,קופרה פורמנטור SILVER STORM,קופרה,2021,1498 ליטר בנזין,1498,בנזין,"10,000",1,1,לבן,פרטית,5,2417,445.0,176000
1,טויוטה קורולה GLI,טויוטה,2011,1598 ליטר בנזין,1598,בנזין,"71,000",2,1,כסף,פרטית,4,1262,454.5,45000
2,קיה פיקנטו LX,קיה,2020,1248 ליטר בנזין,1248,בנזין,"16,500",2,1,לבן,פרטית,9,1235,359.5,79900
3,הונדה סיוויק COMFORT,הונדה,2014,1798 ליטר בנזין,1798,בנזין,"144,000",2,1,אפור,חברה,2,1424,430.0,44900
4,פיאט 500 1.2 POP STAR,פיאט,2017,1242 ליטר בנזין,1242,בנזין,"69,000",1,1,לבן,פרטית,2,1353,357.1,42900
5,סיאט איביזה STYLE,סיאט,2021,999 ליטר בנזין,999,בנזין,"5,000",1,1,שחור מטלי,פרטית,6,1529,405.9,102900
6,יונדאי I10 INSPIRE,יונדאי,2020,1197 ליטר בנזין,1197,בנזין,"8,000",1,1,כסף,פרטית,3,1235,367.0,72900
7,סיאט איביזה STYLE,סיאט,2017,999 ליטר בנזין,999,בנזין,"65,000",1,1,אפור מטל,פרטית,6,1102,404.3,56500
8,קיה פיקנטו LX,קיה,2012,1248 ליטר בנזין,1248,בנזין,"160,000",2,1,לבן,ליסינג,10,985,359.5,28999
9,MG ZS NET UP,MG,2020,999 ליטר בנזין,999,בנזין,"31,000",1,1,לבן,פרטית,10,1529,359.5,94900
10,טויוטה קורולה SUN,טויוטה,2021,1798 ליטר בנזין,1798,בנזין,"20,000",1,1,כסוף בהיר,ליסינג,3,1811,463.0,124900
11,סקודה קארוק AMBITION,סקודה,2019,999 ליטר בנזין,999,בנזין,"21,000",1,1,בז,פרטית,11,1604,438.2,129900
12,יונדאי וניו PREMIUM,יונדאי,2020,1598 ליטר בנזין,1598,בנזין,"20,000",1,1,שחור מטלי,פרטית,9,1529,404.0,107900
13,קיה ספורטז' URBAN,קיה,2018,1591 ליטר בנזין,1591,בנזין,"135,000",1,1,שחור,השכרה,5,1604,448.0,90000
14,קיה ספורטז' URBAN,קיה,2019,1598 ליטר דיזל,1598,דיזל,"131,000",1,1,לבן,ליסינג,4,2130,448.5,110000
15,קיה פיקנטו LX,קיה,2016,1248 ליטר בנזין,1248,בנזין,"38,000",2,1,כסף,פרטית,8,1102,359.5,49999
16,סקודה סופרב STYLE,סקודה,2020,1498 ליטר בנזין,1498,בנזין,"26,500",1,1,לבן,פרטית,11,2417,486.9,179000
17,מאזדה 6 LUXURY,מאזדה,2017,1998 ליטר בנזין,1998,בנזין,"116,000",1,1,לבן,ליסינג,1,2019,487.0,83000
18,יונדאי טוסון ELITE,יונדאי,2020,1999 ליטר בנזין,1999,בנזין,"25,000",1,1,לבן,פרטית,1,2417,448.0,160000
19,טויוטה קורולה SUN,טויוטה,2019,1798 ליטר בנזין,1798,בנזין,"57,000",1,1,כסף מטלי,ליסינג,5,1811,463.0,113000
20,שברולט ספארק LT PLUS,שברולט,2021,1399 ליטר בנזין,1399,בנזין,"7,000",1,1,שחור מטלי,פרטית,4,1235,365.5,77900
21,ניסאן סנטרה SR,ניסאן,2019,1798 ליטר בנזין,1798,בנזין,"26,000",1,1,לבן,פרטית,1,1811,463.5,89900
22,טסלה MODEL 3,טסלה,2021,חשמלי,חשמלי,,"10,000",1,1,לבן,פרטית,3,2417,463.5,195000
23,סקודה אוקטביה AMBITION,סקודה,2018,1395 ליטר בנזין,1395,בנזין,"97,000",1,1,שחור,ליסינג,4,1604,467.0,95000
24,ניסאן טידה BUSINESS,ניסאן,2009,1598 ליטר בנזין,1598,בנזין,"74,000",2,1,אפור כהה מטלי,פרטית,10,1074,430.3,25000
25,סיאט איביזה SPORT,סיאט,2011,1197 ליטר בנזין,1197,בנזין,"128,000",3,1,שחור מטלי,פרטית,4,1262,405.2,35000
26,יונדאי טוסון 0PENSKY PLUS,יונדאי,2018,1999 ליטר בנזין,1999,בנזין,"36,000",2,1,שחור,פרטית,4,2019,447.5,133500
27,יונדאי I10 PRIME,יונדאי,2018,1248 ליטר בנזין,1248,בנזין,"45,000",1,1,לבן,פרטית,8,1102,366.5,57000
28,יונדאי טוסון ELITE,יונדאי,2019,1999 ליטר בנזין,1999,בנזין,"40,000",1,1,אפור,פרטית,11,2019,448.0,139000
29,טויוטה אייגו X-PLAY,טויוטה,2017,998 ליטר בנזין,998,בנזין,"95,000",1,1,שחור מטלי,פרטית,1,1102,345.5,44900
30,קיה פיקנטו GT LINE,קיה,2021,1248 ליטר בנזין,1248,בנזין,"12,000",1,1,אפור בהיר,פרטית,3,1235,359.5,80999
31,קיה נירו EX,קיה,2018,1580 ליטר בנזין,1580,בנזין,"67,000",1,1,שחור,פרטית,4,1604,435.5,110000
32,רנו מגאן EXPRESSION,רנו,2014,1197 ליטר בנזין,1197,בנזין,"83,000",2,2,כחול,פרטית,4,1205,431.2,32000
33,יונדאי איוניק HYBRID PREMIUM,יונדאי,2018,1580 ליטר בנזין,1580,בנזין,"150,000",1,1,כסוף בהיר,ליסינג,6,1604,447.0,88000
34,יונדאי סונטה HYBRID LIMITED,יונדאי,2016,1999 ליטר בנזין,1999,בנזין,"160,000",1,1,אפור,ליסינג,8,2019,485.5,94500
35,פיג'ו 5008 ACTIVE,פיג'ו,2020,1499 ליטר דיזל,1499,דיזל,"39,000",1,1,אפור כהה,פרטית,1,2417,464.1,149900
36,סוזוקי בלנו GLX,סוזוקי,2019,1242 ליטר בנזין,1242,בנזין,"125,000",1,1,לבן,השכרה,11,1102,399.5,62000
37,מאזדה 2 ELEGANT,מאזדה,2021,1496 ליטר בנזין,1496,בנזין,"7,000",1,1,כסף,פרטית,3,1529,432.0,97900
38,יונדאי I10 OPEN SKY,יונדאי,2019,1248 ליטר בנזין,1248,בנזין,"31,000",2,1,לבן,פרטית,4,1235,366.5,66900
39,פיג'ו 3008 PREMIUM,פיג'ו,2018,1560 ליטר דיזל,1560,דיזל,"103,000",1,1,זהב מטאלי,פרטית,2,2019,444.7,112000
40,יונדאי I25 INSPIRE,יונדאי,2018,1368 ליטר בנזין,1368,בנזין,"132,000",1,1,אפור,ליסינג,12,1353,437.0,64000
